var,term,estimate,std.error,statistic,p.value
total_ba,cropland,-4.5e-5,1.4e-4,-0.31,0.76
total_ba,mean_vpd_anom,0.31,0.084,3.7,0.0026
total_ba,urban_built,-0.0041,9.9e-4,-4.1,0.0012
total_ba,forest,-2.9e-5,1.3e-5,-2.2,0.044
n_fires,cropland,-5.4e-5,1.4e-4,-0.38,0.71
n_fires,mean_vpd_anom,0.31,0.082,3.7,0.0026
n_fires,urban_built,-0.0042,9.7e-4,-4.3,8.9e-4
n_fires,forest,-2.9e-5,1.3e-5,-2.3,0.042
season_length,cropland,0.0085,0.0038,2.3,0.042
season_length,mean_vpd_anom,-6.8,2.2,-3.1,0.0082
season_length,urban_built,0.042,0.026,1.7,0.12
season_length,forest,-2.4e-5,3.4e-4,-0.069,0.95
season_peak,cropland,-0.0063,0.0048,-1.3,0.21
season_peak,mean_vpd_anom,7.5,2.8,2.7,0.019
season_peak,urban_built,-0.047,0.033,-1.4,0.18
season_peak,forest,-9.7e-5,4.4e-4,-0.22,0.83
